id,phase,week,week_end,priority,action,owner,dependencies,effort,kpi,approval_class,status,evidence_ids,confidence,implementation_risk,notes
A-001,Foundation,1,1,P1,Approve the evidence boundary and unavailable-source register,Agency admin,,4h,Gate 1 decision recorded,agency_admin,Ready,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-002,Foundation,1,2,P1,"Connect and validate GSC, GA4, SEMrush and PageSpeed in staging",Analyst,A-001,12h,Four source readiness checks,analyst,Not started,"EV-UNAVAILABLE-GSC, EV-UNAVAILABLE-GA4, EV-UNAVAILABLE-SEMRUSH, EV-UNAVAILABLE-PAGESPEED",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-003,Stabilise,2,3,P1,"Reconcile crawl inventory, sitemaps, redirects and canonical graph",Technical SEO,A-001,16h,Zero graph safety failures,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205",1.0,high,Advisory only; no external system changes are executed by the studio.
A-004,Stabilise,3,4,P1,"Resolve high-confidence HTTP, title, meta and H1 findings",SEO + Engineering,A-003,24h,P1 finding count reduced,analyst,Not started,"EV-0208, EV-0209, EV-0219, EV-0222",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-005,Measurement,3,5,P1,"Define analytics events, conversion definitions and baseline capture",Analytics,A-002,16h,Approved measurement dictionary,analyst,Not started,"EV-UNAVAILABLE-GA4, EV-UNAVAILABLE-GSC",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-006,Architecture,5,6,P2,Confirm canonical topic-to-URL map and cannibalisation decisions,SEO Strategist,"A-002, A-004",16h,One target per approved intent,analyst,Not started,"EV-0022, EV-FACT-02, EV-0034, EV-FACT-02, EV-0031, EV-FACT-02",1.0,low,Advisory only; no external system changes are executed by the studio.
A-007,Architecture,6,7,P2,Design evidence-supported internal-link modules,SEO + UX,A-006,12h,Approved link specification,analyst,Not started,"EV-0022, EV-FACT-02, EV-0034, EV-FACT-02, EV-0031, EV-FACT-02",1.0,low,Advisory only; no external system changes are executed by the studio.
A-008,Deployment,7,8,P2,Stage metadata and heading changes on a representative template set,Engineering,"A-004, A-006",20h,Template QA pass rate,analyst,Not started,"EV-0208, EV-0209, EV-0219, EV-0222",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-009,Deployment,8,9,P2,Review page-specific schema candidates against verified facts,Technical SEO,A-006,12h,Zero unsupported schema properties,agency_admin,Not started,EV-0001,1.0,high,Advisory only; no external system changes are executed by the studio.
A-010,Content,9,10,P2,Editorially review the first three evidence-bound content refreshes,Content Lead,A-006,18h,Three human-approved drafts,client_reviewer,Not started,"EV-0022, EV-FACT-02, EV-0034, EV-FACT-02, EV-0031, EV-FACT-02",1.0,low,Advisory only; no external system changes are executed by the studio.
A-011,Content,10,11,P2,Editorially review the remaining distinct content refreshes,Content Lead,A-010,18h,3 additional approvals,client_reviewer,Not started,"EV-0022, EV-FACT-02, EV-0034, EV-FACT-02, EV-0031, EV-FACT-02",1.0,low,Advisory only; no external system changes are executed by the studio.
A-012,Local,11,12,P3,Import and reconcile GBP/BrightLocal evidence before local changes,Local SEO,A-002,10h,Local fact reconciliation,analyst,Not started,EV-0001,1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-013,CRO,11,13,P3,Run accessibility and conversion-path review with analytics baselines,UX + Analytics,"A-005, A-008",18h,Approved experiment backlog,analyst,Not started,"EV-UNAVAILABLE-GA4, EV-0001",1.0,low,Advisory only; no external system changes are executed by the studio.
A-014,Validation,13,14,P1,"Execute staging crawl, link, canonical, schema and render QA",QA,"A-007, A-008, A-009, A-011",20h,Zero Critical or High QA failures,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-015,Validation,14,15,P1,"Reconcile UI, workbooks, reports, deck and manifest",QA,A-014,12h,All canonical counts match,analyst,Not started,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-016,Approval,16,16,P1,"Complete Gate 2, final QA and controlled production decision",Agency admin + client,A-015,8h,Documented approve or revise decision,agency_admin,Not started,EV-0001,1.0,high,Advisory only; no external system changes are executed by the studio.
